run_id;arquivo_instancia;ninst;tem_janelas;heuristica_retirada;tamanho_clientes;nos_rede;veiculos;capacidade;tabu;tipo_geracao;tempo_exato;tempo_bp;fo_exato;fo_bp;gap_pct;igual_exato;nos_bp;colunas_bp;seq_exato;seq_bp;timestamp
tam25_cap200_tabu0_inst0_cons10;instancias/r108,txt;0;0;10;25;27;4;200;0;PD;1201,4432;545,2921;398,2947;398,2947;0;1;25;1920;"V0: [0,21,22,23,4,25,24,26] ; V1: [0,7,10,11,19,8,18,26] ; V2: [0,12,3,9,20,1,26] ; V3: [0,2,15,14,16,17,5,6,13,26]";"V0: [0,7,10,11,19,8,18,26] ; V1: [0,2,15,14,16,17,5,6,13,26] ; V2: [0,12,3,9,20,1,26] ; V3: [0,21,22,23,4,25,24,26]";26/03/2026 22:40
tam25_cap200_tabu0_inst0_cons10;instancias/r109,txt;0;0;10;25;27;5;200;0;PD;69,6229;64,655;442,6252;442,6252;0;1;1;1730;"V0: [0,2,15,14,16,17,13,26] ; V1: [0,5,8,18,6,26] ; V2: [0,21,22,23,4,25,24,26] ; V3: [0,12,3,9,20,1,26] ; V4: [0,7,19,11,10,26]";"V0: [0,21,22,23,4,25,24,26] ; V1: [0,12,3,9,20,1,26] ; V2: [0,2,15,14,16,17,13,26] ; V3: [0,5,8,18,6,26] ; V4: [0,7,19,11,10,26]";26/03/2026 22:42
tam25_cap200_tabu0_inst0_cons10;instancias/r110,txt;0;0;10;25;27;4;200;0;PD;1201,7543;1085,352;-1;445,8722;;;91;2664;SEM_SEQUENCIA_EXATO;"V0: [0,11,19,7,10,20,9,1,26] ; V1: [0,18,8,17,6,26] ; V2: [0,2,21,12,3,24,25,4,26] ; V3: [0,5,16,14,15,22,23,13,26]";26/03/2026 23:20
tam25_cap200_tabu0_inst0_cons10;instancias/r111,txt;0;0;10;25;27;4;200;0;PD;1201,4562;313,9361;440,9024;429,6968;-2,5415;0;29;1988;"V0: [0,6,14,16,17,5,26] ; V1: [0,2,15,23,22,21,4,25,24,26] ; V2: [0,3,9,20,10,1,12,26] ; V3: [0,7,11,19,8,18,13,26]";"V0: [0,7,11,19,8,18,17,5,26] ; V1: [0,12,3,9,20,10,1,26] ; V2: [0,2,15,14,16,6,13,26] ; V3: [0,21,23,22,4,25,24,26]";26/03/2026 23:45
tam25_cap200_tabu0_inst0_cons10;instancias/r112,txt;0;0;10;25;27;4;200;0;PD;1201,4874;3346,43;394,1013;396,9838;0,7314;0;559;3936;"V0: [0,18,8,7,19,11,10,26] ; V1: [0,21,22,23,4,25,24,26] ; V2: [0,2,15,14,16,17,5,6,13,26] ; V3: [0,12,3,9,20,1,26]";"V0: [0,18,8,7,19,11,10,26] ; V1: [0,2,15,14,16,17,5,6,26] ; V2: [0,12,24,3,9,20,1,26] ; V3: [0,13,21,22,23,25,4,26]";27/03/2026 01:01
tam25_cap200_tabu0_inst0_cons10;instancias/c201,txt;0;0;10;25;27;3;200;0;PD;3,8125;3605,2733;268,5325;278,6961;3,7849;0;212;5661;"V0: [0,20,22,24,6,25,9,11,10,8,21,26] ; V1: [0,23,18,19,16,14,12,15,17,13,26] ; V2: [0,5,2,1,7,3,4,26]";"V0: [0,22,18,19,16,14,12,9,11,10,8,26] ; V1: [0,20,24,6,23,15,17,13,25,21,26] ; V2: [0,5,2,1,7,3,4,26]";27/03/2026 02:01
tam25_cap200_tabu0_inst0_cons10;instancias/c202,txt;0;0;10;25;27;3;200;0;PD;1201,3277;3647,1527;268,8531;303,7789;12,9906;0;165;5613;"V0: [0,19,16,14,12,15,13,9,11,10,8,26] ; V1: [0,4,3,7,1,2,5,26] ; V2: [0,20,22,24,6,23,18,17,25,21,26]";"V0: [0,7,3,4,11,10,26] ; V1: [0,20,22,24,6,23,18,19,17,25,21,8,26] ; V2: [0,5,1,2,12,16,14,15,13,9,26]";27/03/2026 03:22
tam25_cap200_tabu0_inst0_cons10;instancias/c203,txt;0;0;10;25;27;3;200;0;PD;1202,2618;3715,3124;268,5325;277,1327;3,2026;0;40;5499;"V0: [0,5,2,1,7,3,4,26] ; V1: [0,23,18,19,16,14,12,15,17,13,26] ; V2: [0,20,22,24,6,25,9,11,10,8,21,26]";"V0: [0,20,22,24,6,23,19,18,17,25,21,26] ; V1: [0,4,3,7,1,12,14,16,15,13,9,26] ; V2: [0,5,2,11,10,8,26]";27/03/2026 04:44
tam25_cap200_tabu0_inst0_cons10;instancias/c204,txt;0;0;10;25;27;3;200;0;PD;1202,3225;3622,8786;268,5947;291,5318;8,5397;0;727;6333;"V0: [0,17,18,19,16,14,12,15,13,26] ; V1: [0,20,22,24,6,23,25,9,11,10,8,21,26] ; V2: [0,5,2,1,7,3,4,26]";"V0: [0,12,14,16,9,26] ; V1: [0,4,3,7,1,2,5,11,10,8,21,22,20,26] ; V2: [0,24,6,23,17,18,19,15,13,25,26]";27/03/2026 06:04
tam25_cap200_tabu0_inst0_cons10;instancias/c205,txt;0;0;10;25;27;3;200;0;PD;326,6654;3600,2022;268,5325;281,4628;4,8151;0;252;4818;"V0: [0,23,18,19,16,14,12,15,17,13,26] ; V1: [0,20,22,24,6,25,9,11,10,8,21,26] ; V2: [0,5,2,1,7,3,4,26]";"V0: [0,23,18,19,16,14,12,15,10,11,26] ; V1: [0,20,22,24,6,25,17,13,9,8,21,26] ; V2: [0,5,2,1,7,3,4,26]";27/03/2026 07:10
