iteracao;valor_fo
173;8260991.014309
174;8260985.128588
175;8260985.057977
176;8260984.867215
177;8260979.304829
178;8260979.304829
179;8260979.304829
180;8260979.304829
181;8260979.304829
182;8260979.304829
183;8260977.359191
184;8260975.289734
185;8260975.085549
186;8260974.112286
187;8260974.112286
188;8181928.103211
189;8181924.870240
190;8181924.843713
191;8181924.843713
192;8181924.448018
193;8153956.786154
194;8139647.796332
195;8139647.790025
196;8125114.538030
197;8125114.503408
198;8125114.270285
199;8095355.092179
200;8095355.092179
201;8095355.092179
202;8095351.170590
203;8095351.170590
204;8095350.643908
205;8095349.981703
206;8095349.981703
207;8095349.257023
208;8095349.158472
209;8048896.892999
210;8048896.892999
211;8000122.108839
212;8000122.108839
213;8000121.819192
214;8000121.819192
215;8000121.819192
216;8000120.237701
217;8000120.237701
218;8000120.170743
219;8000119.352741
220;8000115.826177
221;8000115.826177
222;8000115.826177
223;8000115.826177
224;8000115.776968
225;8000115.776968
226;7931158.778977
227;7931158.778977
228;7922203.012542
229;7922202.931984
230;7894862.174796
231;7894862.174796
232;7894862.174796
233;7894860.317762
234;7894860.317762
235;7894859.212493
236;7894859.212493
237;7894859.212493
238;7894859.052644
239;7894859.052644
240;7894859.052644
241;7894859.052644
242;7894859.052644
243;7894856.706545
244;7818307.091162
245;7818307.091162
246;7818307.091162
247;7818307.084500
248;7777907.674855
249;7777907.502310
250;7777907.502310
251;7777905.246397
252;7777905.243712
253;7777905.243712
254;7777903.900834
255;7777903.529347
256;7777903.529347
257;7777901.519586
258;7777901.519586
259;7777901.519586
260;7777901.519586
261;7777901.519586
262;7777901.519586
263;7777901.358180
264;7777901.358180
265;7777901.358180
266;7777901.358180
267;7777901.358180
268;7777901.358180
269;7777901.358180
270;7777901.358180
271;7777901.358180
272;7777901.013570
273;7746607.140792
274;7746607.140792
275;7742064.950328
276;7735979.556387
277;7735979.436918
278;7735978.152883
279;7735978.148335
280;7735978.121648
281;7735978.113685
282;7735977.208646
283;7714419.327484
284;7714419.255273
285;7714418.839053
286;7714418.693838
287;7692437.536722
288;7692437.536722
289;7692437.536722
290;7692437.536722
291;7692437.536722
292;7692437.493524
293;7692437.458387
294;7681289.407154
295;7681289.407154
296;7647191.825338
297;7647191.825338
298;7647191.825338
299;7647191.825338
300;7647191.825338
301;7647191.663544
302;7647191.663544
303;7647190.271057
304;7647190.271057
305;7647190.242336
306;7647190.242336
307;7647190.242336
308;7647190.242336
309;7647190.242336
310;7647190.242336
311;7647190.242336
312;7647188.607956
313;7647188.374891
314;7600131.793615
315;7575893.956011
316;7575892.576528
317;7567705.065369
318;7567705.065369
319;7551162.524505
320;7551162.524505
321;7551155.654327
322;7551155.654327
323;7551155.654327
324;7551155.654327
325;7551155.654327
326;7551155.654327
327;7551155.538505
328;7551155.538505
329;7551155.538505
330;7551155.538505
331;7551155.538505
332;7551155.538505
333;7551155.538505
334;7551155.522711
335;7538597.708709
336;7538597.708709
337;7538597.708709
338;7500142.143749
339;7500142.143749
340;7500142.143749
341;7500141.787380
342;7500140.573848
343;7500140.573537
344;7500136.449027
345;7500136.043470
346;7446948.874840
347;7446948.859328
348;7446948.155215
349;7446948.106058
350;7446948.103540
351;7446946.001427
352;7419495.888690
353;7419495.888690
354;7405551.012236
355;7405551.005233
356;7391454.859579
357;7391454.836120
358;7391451.576125
359;7391451.576125
360;7391451.360287
361;7391451.360287
362;7391451.170469
363;7391451.170469
364;7391451.017596
365;7391451.017596
366;7391451.017596
367;7391451.017596
368;7391451.017596
369;7391450.690838
370;7391448.470843
371;7391448.470843
372;7391448.470843
373;7391448.098155
374;7391448.098155
375;7391448.098155
376;7391448.098155
377;7391448.098155
378;7391448.098155
379;7391448.084983
380;7391447.228065
381;7391447.035534
382;7391446.997335
383;7391446.997335
384;7333483.221504
385;7333483.053986
386;7333482.829637
387;7272878.309623
388;7272878.302548
389;7272878.302548
390;7272878.302548
391;7272878.302548
