run_id;arquivo_instancia;ninst;tem_janelas;heuristica_retirada;tamanho_clientes;nos_rede;veiculos;capacidade;tabu;tipo_geracao;tempo_exato;tempo_bp;fo_exato;fo_bp;gap_pct;igual_exato;nos_bp;colunas_bp;seq_exato;seq_bp;timestamp;;;;;;;;;;
tam25_cap200_tabu0_inst0_cons0;instancias/r105,txt;0;0;0;25;27;6;200;0;PD;17,8249;90,9081;531,5386;531,5386;0;1;1;828;"V0: [0,5,14,16,6,26] ; V1: [0,12,9,3,24,25,26] ; V2: [0,2,15,13,26] ; V3: [0,21,23,22,4,26] ; V4: [0,7,18,8,17,26] ; V5: [0,19,11,10,20,1,26]";"V0: [0,5,14,16,6,26] ; V1: [0,19,11,10,20,1,26] ; V2: [0,7,18,8,17,26] ; V3: [0,12,9,3,24,26] ; V4: [0,2,15,13,26] ; V5: [0,21,23,22,4,25,26]";28/03/2026 01:36;;;;;;;;;;
tam25_cap200_tabu0_inst0_cons1;instancias/r105,txt;0;0;1;25;27;6;200;0;PD;17,8249;56,1524;531,5386;531,5386;0;1;1;1134;"V0: [0,5,14,16,6,26] ; V1: [0,12,9,3,24,25,26] ; V2: [0,2,15,13,26] ; V3: [0,21,23,22,4,26] ; V4: [0,7,18,8,17,26] ; V5: [0,19,11,10,20,1,26]";"V0: [0,19,11,10,20,1,26] ; V1: [0,12,9,3,24,25,26] ; V2: [0,5,14,16,6,26] ; V3: [0,7,18,8,17,26] ; V4: [0,2,15,13,26] ; V5: [0,21,23,22,4,26]";28/03/2026 01:37;;;;;;;;;;
tam25_cap200_tabu0_inst0_cons2;instancias/r105,txt;0;0;2;25;27;6;200;0;PD;17,8249;57,6008;531,5386;531,5386;0;1;1;1242;"V0: [0,5,14,16,6,26] ; V1: [0,12,9,3,24,25,26] ; V2: [0,2,15,13,26] ; V3: [0,21,23,22,4,26] ; V4: [0,7,18,8,17,26] ; V5: [0,19,11,10,20,1,26]";"V0: [0,21,23,22,4,25,26] ; V1: [0,19,11,10,20,1,26] ; V2: [0,7,18,8,17,26] ; V3: [0,5,14,16,6,26] ; V4: [0,12,9,3,24,26] ; V5: [0,2,15,13,26]";28/03/2026 01:38;;;;;;;;;;
tam25_cap200_tabu0_inst0_cons3;instancias/r105,txt;0;0;3;25;27;6;200;0;PD;17,8249;22,6073;531,5386;537,5166;1,1247;0;65;1452;"V0: [0,5,14,16,6,26] ; V1: [0,12,9,3,24,25,26] ; V2: [0,2,15,13,26] ; V3: [0,21,23,22,4,26] ; V4: [0,7,18,8,17,26] ; V5: [0,19,11,10,20,1,26]";"V0: [0,18,6,26] ; V1: [0,21,23,22,4,26] ; V2: [0,12,9,3,24,25,26] ; V3: [0,5,14,16,8,17,26] ; V4: [0,11,19,7,10,20,1,26] ; V5: [0,2,15,13,26]";28/03/2026 01:38;;;;;;;;;;
tam25_cap200_tabu0_inst0_cons22;instancias/r105,txt;0;0;22;25;27;6;200;0;PD;17,8249;210,8627;531,5386;531,5386;0;1;1;492;"V0: [0,5,14,16,6,26] ; V1: [0,12,9,3,24,25,26] ; V2: [0,2,15,13,26] ; V3: [0,21,23,22,4,26] ; V4: [0,7,18,8,17,26] ; V5: [0,19,11,10,20,1,26]";"V0: [0,2,15,13,26] ; V1: [0,21,23,22,4,26] ; V2: [0,12,9,3,24,25,26] ; V3: [0,19,11,10,20,1,26] ; V4: [0,7,18,8,17,26] ; V5: [0,5,14,16,6,26]";28/03/2026 01:41;;;;;;;;;;
tam25_cap200_tabu0_inst0_cons0;instancias/r106,txt;0;0;0;25;27;5;200;0;PD;1092,5516;1481,3308;466,4802;470,5235;0,8668;0;307;2765;"V0: [0,2,15,23,22,4,25,21,26] ; V1: [0,14,16,6,13,26] ; V2: [0,7,19,11,10,26] ; V3: [0,18,8,17,5,26] ; V4: [0,1,9,20,3,24,12,26]";"V0: [0,1,9,20,3,24,26] ; V1: [0,14,16,6,13,26] ; V2: [0,18,8,17,5,26] ; V3: [0,2,15,23,22,21,4,25,12,26] ; V4: [0,7,19,11,10,26]";28/03/2026 02:24;;;;;;;;;;
tam25_cap200_tabu0_inst0_cons1;instancias/r106,txt;0;0;1;25;27;5;200;0;PD;1092,5516;809,2501;466,4802;466,4802;0;1;137;2280;"V0: [0,2,15,23,22,4,25,21,26] ; V1: [0,14,16,6,13,26] ; V2: [0,7,19,11,10,26] ; V3: [0,18,8,17,5,26] ; V4: [0,1,9,20,3,24,12,26]";"V0: [0,7,19,11,10,26] ; V1: [0,2,15,23,22,4,25,21,26] ; V2: [0,18,8,17,5,26] ; V3: [0,14,16,6,13,26] ; V4: [0,1,9,20,3,24,12,26]";28/03/2026 02:38;;;;;;;;;;
tam25_cap200_tabu0_inst0_cons2;instancias/r106,txt;0;0;2;25;27;5;200;0;PD;1092,5516;875,5637;466,4802;466,4802;0;1;153;2390;"V0: [0,2,15,23,22,4,25,21,26] ; V1: [0,14,16,6,13,26] ; V2: [0,7,19,11,10,26] ; V3: [0,18,8,17,5,26] ; V4: [0,1,9,20,3,24,12,26]";"V0: [0,7,19,11,10,26] ; V1: [0,2,15,23,22,4,25,21,26] ; V2: [0,14,16,6,13,26] ; V3: [0,1,9,20,3,24,12,26] ; V4: [0,18,8,17,5,26]";28/03/2026 02:52;;;;;;;;;;
tam25_cap200_tabu0_inst0_cons3;instancias/r106,txt;0;0;3;25;27;5;200;0;PD;1092,5516;2234,3161;466,4802;501,4534;7,4973;0;16147;6465;"V0: [0,2,15,23,22,4,25,21,26] ; V1: [0,14,16,6,13,26] ; V2: [0,7,19,11,10,26] ; V3: [0,18,8,17,5,26] ; V4: [0,1,9,20,3,24,12,26]";"V0: [0,19,11,10,20,26] ; V1: [0,2,14,16,5,6,13,26] ; V2: [0,7,18,8,17,26] ; V3: [0,21,15,23,22,4,25,12,26] ; V4: [0,1,9,3,24,26]";28/03/2026 03:30;;;;;;;;;;
tam25_cap200_tabu0_inst0_cons22;instancias/r106,txt;0;0;22;25;27;5;200;0;PD;1092,5516;3602,4569;466,4802;-1;;;0;0;"V0: [0,2,15,23,22,4,25,21,26] ; V1: [0,14,16,6,13,26] ; V2: [0,7,19,11,10,26] ; V3: [0,18,8,17,5,26] ; V4: [0,1,9,20,3,24,12,26]";SEM_SEQUENCIA_BP;28/03/2026 04:30;;;;;;;;;;
tam25_cap200_tabu0_inst0_cons0;instancias/r107,txt;0;0;0;25;27;4;200;0;PD;1201,3898;169,633;429,2004;425,2685;-0,9161;0;1;1156;"V0: [0,6,16,14,13,26] ; V1: [0,18,7,11,19,8,17,5,26] ; V2: [0,2,15,23,22,4,25,21,26] ; V3: [0,12,24,3,9,20,10,1,26]";"V0: [0,18,7,11,19,8,17,16,5,26] ; V1: [0,21,23,22,4,25,24,26] ; V2: [0,12,3,9,20,10,1,26] ; V3: [0,2,15,14,6,13,26]";28/03/2026 04:53;;;;;;;;;;
tam25_cap200_tabu0_inst0_cons1;instancias/r107,txt;0;0;1;25;27;4;200;0;PD;1201,3898;183,1797;429,2004;425,2685;-0,9161;0;1;1808;"V0: [0,6,16,14,13,26] ; V1: [0,18,7,11,19,8,17,5,26] ; V2: [0,2,15,23,22,4,25,21,26] ; V3: [0,12,24,3,9,20,10,1,26]";"V0: [0,12,3,9,20,10,1,26] ; V1: [0,18,7,11,19,8,17,16,5,26] ; V2: [0,21,23,22,4,25,24,26] ; V3: [0,2,15,14,6,13,26]";28/03/2026 04:56;;;;;;;;;;
tam25_cap200_tabu0_inst0_cons2;instancias/r107,txt;0;0;2;25;27;4;200;0;PD;1201,3898;246,2748;429,2004;425,2685;-0,9161;0;1;1976;"V0: [0,6,16,14,13,26] ; V1: [0,18,7,11,19,8,17,5,26] ; V2: [0,2,15,23,22,4,25,21,26] ; V3: [0,12,24,3,9,20,10,1,26]";"V0: [0,18,7,11,19,8,17,16,5,26] ; V1: [0,21,23,22,4,25,24,26] ; V2: [0,12,3,9,20,10,1,26] ; V3: [0,2,15,14,6,13,26]";28/03/2026 05:00;;;;;;;;;;
tam25_cap200_tabu0_inst0_cons3;instancias/r107,txt;0;0;3;25;27;4;200;0;PD;1201,3898;115,3156;429,2004;431,1264;0,4487;0;193;2296;"V0: [0,6,16,14,13,26] ; V1: [0,18,7,11,19,8,17,5,26] ; V2: [0,2,15,23,22,4,25,21,26] ; V3: [0,12,24,3,9,20,10,1,26]";"V0: [0,23,22,21,4,25,24,26] ; V1: [0,18,7,11,19,8,17,16,5,26] ; V2: [0,12,3,9,20,10,1,26] ; V3: [0,2,15,14,6,13,26]";28/03/2026 05:02;;;;;;;;;;
tam25_cap200_tabu0_inst0_cons22;instancias/r107,txt;0;0;22;25;27;4;200;0;PD;1201,3898;443,1022;429,2004;425,2685;-0,9161;0;1;472;"V0: [0,6,16,14,13,26] ; V1: [0,18,7,11,19,8,17,5,26] ; V2: [0,2,15,23,22,4,25,21,26] ; V3: [0,12,24,3,9,20,10,1,26]";"V0: [0,21,23,22,4,25,24,26] ; V1: [0,2,15,14,6,13,26] ; V2: [0,12,3,9,20,10,1,26] ; V3: [0,18,7,11,19,8,17,16,5,26]";28/03/2026 05:09;;;;;;;;;;
tam25_cap200_tabu0_inst0_cons0;instancias/r108,txt;0;0;0;25;27;4;200;0;PD;1201,4456;3618,3219;398,2947;418,3557;5,0367;0;212;5284;"V0: [0,21,22,23,4,25,24,26] ; V1: [0,7,10,11,19,8,18,26] ; V2: [0,12,3,9,20,1,26] ; V3: [0,2,15,14,16,17,5,6,13,26]";"V0: [0,12,24,3,9,20,1,26] ; V1: [0,10,19,11,7,8,18,26] ; V2: [0,2,15,23,22,4,25,21,26] ; V3: [0,6,5,17,16,14,13,26]";28/03/2026 06:29;;;;;;;;;;
tam25_cap200_tabu0_inst0_cons1;instancias/r108,txt;0;0;1;25;27;4;200;0;PD;1201,4456;426,5231;398,2947;398,2947;0;1;9;2032;"V0: [0,21,22,23,4,25,24,26] ; V1: [0,7,10,11,19,8,18,26] ; V2: [0,12,3,9,20,1,26] ; V3: [0,2,15,14,16,17,5,6,13,26]";"V0: [0,2,15,14,16,17,5,6,13,26] ; V1: [0,7,10,11,19,8,18,26] ; V2: [0,1,20,9,3,12,26] ; V3: [0,21,22,23,4,25,24,26]";28/03/2026 06:36;;;;;;;;;;
tam25_cap200_tabu0_inst0_cons2;instancias/r108,txt;0;0;2;25;27;4;200;0;PD;1201,4456;1033,4836;398,2947;398,2947;0;1;95;2328;"V0: [0,21,22,23,4,25,24,26] ; V1: [0,7,10,11,19,8,18,26] ; V2: [0,12,3,9,20,1,26] ; V3: [0,2,15,14,16,17,5,6,13,26]";"V0: [0,7,10,11,19,8,18,26] ; V1: [0,2,15,14,16,17,5,6,13,26] ; V2: [0,1,20,9,3,12,26] ; V3: [0,21,22,23,4,25,24,26]";28/03/2026 06:54;;;;;;;;;;
tam25_cap200_tabu0_inst0_cons3;instancias/r108,txt;0;0;3;25;27;4;200;0;PD;1201,4456;170,8266;398,2947;412,6813;3,612;0;227;2972;"V0: [0,21,22,23,4,25,24,26] ; V1: [0,7,10,11,19,8,18,26] ; V2: [0,12,3,9,20,1,26] ; V3: [0,2,15,14,16,17,5,6,13,26]";"V0: [0,14,15,2,13,26] ; V1: [0,21,22,23,4,25,24,26] ; V2: [0,12,3,9,20,10,1,26] ; V3: [0,18,7,11,19,8,17,16,5,6,26]";28/03/2026 06:57;;;;;;;;;;
tam25_cap200_tabu0_inst0_cons22;instancias/r108,txt;0;0;22;25;27;4;200;0;PD;1201,4456;3603,5279;398,2947;413,9937;3,9416;0;469;1976;"V0: [0,21,22,23,4,25,24,26] ; V1: [0,7,10,11,19,8,18,26] ; V2: [0,12,3,9,20,1,26] ; V3: [0,2,15,14,16,17,5,6,13,26]";"V0: [0,22,23,4,12,26] ; V1: [0,1,20,9,3,24,25,21,26] ; V2: [0,7,10,11,19,8,18,26] ; V3: [0,2,15,14,16,17,5,6,13,26]";28/03/2026 07:57;;;;;;;;;;
tam25_cap200_tabu0_inst0_cons0;instancias/r109,txt;0;0;0;25;27;5;200;0;PD;80,721;128,853;442,6252;442,6252;0;1;1;1495;"V0: [0,2,15,14,16,17,13,26] ; V1: [0,5,8,18,6,26] ; V2: [0,21,22,23,4,25,24,26] ; V3: [0,12,3,9,20,1,26] ; V4: [0,7,19,11,10,26]";"V0: [0,21,22,23,4,25,24,26] ; V1: [0,12,3,9,20,1,26] ; V2: [0,7,19,11,10,26] ; V3: [0,5,8,18,6,26] ; V4: [0,2,15,14,16,17,13,26]";28/03/2026 08:00;;;;;;;;;;
tam25_cap200_tabu0_inst0_cons1;instancias/r109,txt;0;0;1;25;27;5;200;0;PD;80,721;93,2677;442,6252;442,6252;0;1;1;1465;"V0: [0,2,15,14,16,17,13,26] ; V1: [0,5,8,18,6,26] ; V2: [0,21,22,23,4,25,24,26] ; V3: [0,12,3,9,20,1,26] ; V4: [0,7,19,11,10,26]";"V0: [0,12,3,9,20,1,26] ; V1: [0,2,15,14,16,17,13,26] ; V2: [0,5,8,18,6,26] ; V3: [0,21,22,23,4,25,24,26] ; V4: [0,7,19,11,10,26]";28/03/2026 08:02;;;;;;;;;;
tam25_cap200_tabu0_inst0_cons2;instancias/r109,txt;0;0;2;25;27;5;200;0;PD;80,721;111,8622;442,6252;442,6252;0;1;1;1470;"V0: [0,2,15,14,16,17,13,26] ; V1: [0,5,8,18,6,26] ; V2: [0,21,22,23,4,25,24,26] ; V3: [0,12,3,9,20,1,26] ; V4: [0,7,19,11,10,26]";"V0: [0,12,3,9,20,1,26] ; V1: [0,21,22,23,4,25,24,26] ; V2: [0,2,15,14,16,17,13,26] ; V3: [0,7,19,11,10,26] ; V4: [0,5,8,18,6,26]";28/03/2026 08:04;;;;;;;;;;
